epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
65,10903.6,0.77434,0.62823,0.79413,0.55543,0.35897,0.40621,0.31718,0.78282,0.82096,0.80358,2.05184e-05,2.05184e-05,2.05184e-05
66,11073.9,0.77331,0.61552,0.7975,0.58701,0.35975,0.40905,0.31735,0.78294,0.81642,0.80351,1.9964e-05,1.9964e-05,1.9964e-05
67,11242.8,0.76245,0.61306,0.79711,0.5628,0.34614,0.39648,0.30806,0.78501,0.82701,0.8035,1.94096e-05,1.94096e-05,1.94096e-05
68,11409.7,0.76671,0.61083,0.79543,0.59317,0.34684,0.40463,0.31464,0.78344,0.82742,0.80351,1.88552e-05,1.88552e-05,1.88552e-05
69,11577.2,0.7697,0.61449,0.79523,0.58677,0.34462,0.40234,0.31282,0.783,0.81985,0.80358,1.83008e-05,1.83008e-05,1.83008e-05
70,11743.9,0.77392,0.60238,0.79511,0.62268,0.35123,0.40194,0.31241,0.78296,0.81486,0.80342,1.77464e-05,1.77464e-05,1.77464e-05
71,11911.9,0.76152,0.60622,0.79826,0.60457,0.36523,0.3978,0.30894,0.78371,0.82061,0.80395,1.7192e-05,1.7192e-05,1.7192e-05
72,12080.4,0.76821,0.6071,0.79679,0.63143,0.3521,0.4022,0.31324,0.78207,0.82084,0.8037,1.66376e-05,1.66376e-05,1.66376e-05
73,12248,0.76003,0.58907,0.79745,0.57763,0.36829,0.40274,0.31184,0.78193,0.82178,0.80359,1.60832e-05,1.60832e-05,1.60832e-05
74,12415.9,0.75649,0.58481,0.79862,0.59739,0.35899,0.40711,0.3157,0.78045,0.81165,0.80359,1.55288e-05,1.55288e-05,1.55288e-05
75,12584.6,0.76184,0.58433,0.7987,0.60541,0.35099,0.40584,0.31416,0.78166,0.8181,0.80328,1.49744e-05,1.49744e-05,1.49744e-05
76,12750.3,0.77202,0.59677,0.79774,0.5939,0.35624,0.40396,0.31368,0.78323,0.81619,0.80398,1.442e-05,1.442e-05,1.442e-05
77,12916.3,0.77607,0.5985,0.7966,0.56615,0.36601,0.39968,0.308,0.78141,0.81089,0.80352,1.38656e-05,1.38656e-05,1.38656e-05
78,13081.6,0.75841,0.58811,0.79608,0.57351,0.36355,0.40843,0.31609,0.78145,0.81123,0.80314,1.33112e-05,1.33112e-05,1.33112e-05
79,13247.1,0.75025,0.5786,0.79522,0.58888,0.36331,0.4064,0.31394,0.78103,0.81114,0.8035,1.27568e-05,1.27568e-05,1.27568e-05
80,13413.9,0.75338,0.57914,0.79886,0.57651,0.36622,0.40374,0.31128,0.78191,0.81094,0.80345,1.22024e-05,1.22024e-05,1.22024e-05
81,13579.5,0.73898,0.56261,0.79392,0.59149,0.35739,0.40946,0.31695,0.7809,0.81147,0.80352,1.1648e-05,1.1648e-05,1.1648e-05
82,13745,0.74072,0.5636,0.79461,0.5624,0.38234,0.40941,0.31705,0.78038,0.80846,0.80363,1.10936e-05,1.10936e-05,1.10936e-05
83,13911.1,0.74652,0.56904,0.79344,0.59524,0.3667,0.40651,0.31409,0.78184,0.81228,0.80359,1.05392e-05,1.05392e-05,1.05392e-05
84,14077,0.75435,0.56039,0.79473,0.57807,0.37685,0.40882,0.31676,0.7811,0.81031,0.80337,9.9848e-06,9.9848e-06,9.9848e-06
85,14244.3,0.74807,0.56791,0.79483,0.59664,0.36869,0.41182,0.32082,0.77948,0.80765,0.80333,9.4304e-06,9.4304e-06,9.4304e-06
86,14410.5,0.75732,0.56841,0.79554,0.60387,0.35886,0.41274,0.32016,0.77867,0.80769,0.80307,8.876e-06,8.876e-06,8.876e-06
87,14577.5,0.74273,0.56005,0.79311,0.60346,0.36233,0.41327,0.32061,0.78009,0.80553,0.80316,8.3216e-06,8.3216e-06,8.3216e-06
88,14745,0.74059,0.56217,0.79612,0.6103,0.36134,0.41353,0.32025,0.78088,0.80636,0.8032,7.7672e-06,7.7672e-06,7.7672e-06
89,14912.2,0.74658,0.55495,0.79613,0.60831,0.36458,0.41228,0.32,0.77936,0.80394,0.80329,7.2128e-06,7.2128e-06,7.2128e-06
90,15079.3,0.73692,0.54707,0.79472,0.59833,0.36382,0.4116,0.31905,0.77965,0.80237,0.80331,6.6584e-06,6.6584e-06,6.6584e-06
91,15251.3,0.72306,0.51503,0.78889,0.61082,0.36035,0.40869,0.31653,0.78461,0.80838,0.80346,6.104e-06,6.104e-06,6.104e-06
92,15417.1,0.70911,0.49423,0.79327,0.5597,0.37307,0.40655,0.31431,0.78617,0.81185,0.80342,5.5496e-06,5.5496e-06,5.5496e-06
93,15582.1,0.70801,0.48623,0.7918,0.54068,0.3856,0.40717,0.3145,0.78576,0.81084,0.80323,4.9952e-06,4.9952e-06,4.9952e-06
94,15747.4,0.70838,0.48746,0.79096,0.55268,0.38513,0.40943,0.31644,0.78612,0.81119,0.80328,4.4408e-06,4.4408e-06,4.4408e-06
95,15912.3,0.70428,0.48823,0.79335,0.55677,0.38654,0.41126,0.31885,0.78595,0.80947,0.80327,3.8864e-06,3.8864e-06,3.8864e-06
96,16076.9,0.70187,0.47734,0.79177,0.58247,0.37216,0.41381,0.32091,0.78566,0.81109,0.80325,3.332e-06,3.332e-06,3.332e-06
97,16242.4,0.70129,0.47524,0.79225,0.58475,0.38065,0.41314,0.32053,0.78555,0.80993,0.8032,2.7776e-06,2.7776e-06,2.7776e-06
98,16409.4,0.70002,0.47128,0.78973,0.56643,0.38499,0.41259,0.32008,0.78488,0.81117,0.80312,2.2232e-06,2.2232e-06,2.2232e-06
99,16575.6,0.69687,0.46758,0.79194,0.58643,0.38164,0.41303,0.32018,0.78405,0.8102,0.80304,1.6688e-06,1.6688e-06,1.6688e-06
100,16740.8,0.70093,0.47832,0.79024,0.5551,0.38468,0.41337,0.3203,0.78409,0.81009,0.80311,1.1144e-06,1.1144e-06,1.1144e-06
